"Latitude","Longitude","Species","DBH"
47.6270592623,-122.062738908,"Ash (Fraxinus species)",6
47.628229078,-122.063417878,"Ash (Fraxinus species)",1
47.6309821984,-122.064680984,"Maple, Japanese (Acer palmatum)",5
47.630284962,-122.064454238,"Ash (Fraxinus species)",10
47.629087001,-122.063704202,"Ash (Fraxinus species)",8
47.6270376374,-122.062577048,"Ash (Fraxinus species)",8
47.6281462643,-122.063429128,"Ash (Fraxinus species)",14
47.6309677828,-122.064678845,"Maple, Japanese (Acer palmatum)",4
47.6287503581,-122.063515722,"Ash (Fraxinus species)",2
47.6309245362,-122.064692392,"Cherry, Kwanzan (Prunus shrubs)",10
47.6280746632,-122.063445528,"Ash (Fraxinus species)",8
47.6285608654,-122.063432297,"Ash (Fraxinus species)",9
47.6308293934,-122.064663871,"Cherry, Kwanzan (Prunus shrubs)",10
47.6279136805,-122.06347904,"Ash (Fraxinus species)",6
47.628442866,-122.063414788,"Ash (Fraxinus species)",2
47.627852651,-122.063489736,"Ash (Fraxinus species)",7
47.6308353198,-122.064452336,"Ash (Fraxinus species)",10
47.6277642304,-122.063509701,"Ash (Fraxinus species)",6
47.6309395924,-122.06448371,"Ash (Fraxinus species)",10
47.6310895139,-122.06450724,"Ash (Fraxinus species)",1
47.6302308764,-122.064418982,"Maple, Red (Acer rubrum)",8
47.6301739608,-122.064393233,"Ash (Fraxinus species)",8
47.6300869856,-122.064340865,"Ash (Fraxinus species)",4
47.6292546007,-122.063597721,"Ash (Fraxinus species)",14
47.6296774688,-122.063852989,"Ash (Fraxinus species)",11
47.6294564245,-122.063723929,"Ash (Fraxinus species)",1
47.6291608965,-122.063525705,"Ash (Fraxinus species)",14
47.6293588764,-122.063668312,"Ash (Fraxinus species)",16
47.6297654057,-122.063905754,"Ash (Fraxinus species)",14
47.6300844761,-122.064121804,"Ash (Fraxinus species)",10
47.6302915825,-122.064236603,"Ash (Fraxinus species)",15
47.6305145453,-122.064345698,"Ash (Fraxinus species)",2
47.6295659857,-122.063799511,"Ash (Fraxinus species)",13
47.6304045056,-122.064294359,"Ash (Fraxinus species)",13
47.6301998023,-122.064183838,"Ash (Fraxinus species)",1
47.6239783743,-122.067930427,"Maple, Red (Acer rubrum)",5
47.6239466559,-122.067929001,"Maple, Red (Acer rubrum)",5
47.6424685191,-122.067635327,"Cherry, Kwanzan (Prunus shrubs)",5
47.6424867748,-122.067600388,"Hemlock, Mountain (Tsuga mertensiana)",15
47.6425953478,-122.067726596,"Maple, Red (Acer rubrum)",2
47.6425151191,-122.067604667,"Hemlock, Mountain (Tsuga mertensiana)",12
47.6425059913,-122.067639606,"Cedar, Western Red (Thuja plicata)",2
47.6428869566,-122.067153314,"Cherry, Kwanzan (Prunus shrubs)",14
47.6435797011,-122.066846708,"Fir, Douglas (Pseudotsuga menziesii)",2
47.6435969956,-122.066864534,"Maple, Red (Acer rubrum)",2
47.6437079684,-122.066965785,"Fir, Douglas (Pseudotsuga menziesii)",14
47.6435417494,-122.067066323,"Fir, Douglas (Pseudotsuga menziesii)",16
